post_id,title,category,score,num_comments,author,collected_at
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09T14:12:08.388557
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,12,1,willmeyers,2026-04-09T14:08:42.954557
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,7,6,behat,2026-04-09T14:08:46.028523
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,56,16,meribold,2026-04-09T14:08:58.744959
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,115,50,DamnInteresting,2026-04-09T14:08:59.769623
47696562,Show HN: Is Hormuz open yet?,entertainment,416,178,anonfunction,2026-04-09T14:09:03.250685
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,120,137,latchkey,2026-04-09T14:09:05.196177
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,58,9,rvitorper,2026-04-09T14:09:11.954444
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,52,23,vkatluri,2026-04-09T14:09:16.768072
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,57,indraneelpatil,2026-04-09T14:09:17.805134
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,233,sam-bee,2026-04-09T14:09:26.966202
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,283,66,frasermarlow,2026-04-09T14:09:37.558264
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,16,8,xarchive,2026-04-09T14:09:39.400018
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,224,27,MediaSquirrel,2026-04-09T14:09:43.699900
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09T14:09:46.053770
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,12,3,super_ar,2026-04-09T14:09:50.155488
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-09T14:09:53.540215
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,198,MattHart88,2026-04-09T14:10:00.023031
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,115,32,noone_youknow,2026-04-09T14:10:04.843111
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-09T14:10:06.942806
47637828,Show HN: Tusk for macOS and Gnome,entertainment,120,47,factorialboy,2026-04-09T14:10:11.347757
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,247,204,Zm44,2026-04-09T14:10:14.508265
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,28,12,ashish004,2026-04-09T14:10:17.799667
47695616,YouTube starts showing 90-second unskippable ads to TV viewers,entertainment,29,18,Brajeshwar,2026-04-09T14:10:25.183013
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,66,12,4RH1T3CT0R,2026-04-09T14:10:29.781372
47660853,Book review: There Is No Antimemetics Division,entertainment,279,226,ibobev,2026-04-09T14:10:30.242035
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,320,201,nevernothing,2026-04-09T14:10:33.983736
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,100,28,mohshomis,2026-04-09T14:10:46.370843
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,175,32,laszlokorte,2026-04-09T14:10:48.621149
47652322,Music for Programming,entertainment,349,173,merusame,2026-04-09T14:10:53.335241
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-09T14:10:55.428928
47662429,Show HN: Weird Clocks,entertainment,51,18,vunderba,2026-04-09T14:10:57.427578
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,95,40,1659447091,2026-04-09T14:10:59.374398
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,118,54,waveywaves,2026-04-09T14:11:07.477474
47674662,Show HN: A social feed with no algo where communities decide what gets seen,entertainment,10,5,smnkgv,2026-04-09T14:11:07.871808
47625952,Show HN: I built a frontpage for personal blogs,entertainment,781,196,ramkarthikk,2026-04-09T14:11:15.345543
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,32,31,fsloth,2026-04-09T14:11:16.270065
47675709,Show HN: The King James Bible deserved a better website,entertainment,11,5,L23234,2026-04-09T14:11:19.247841
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,entertainment,13,0,meribold,2026-04-09T14:11:46.782660
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,17,12,anton_salcher,2026-04-09T14:11:55.794761
47679573,Apple Is Reportedly Facing a 'Massive Dilemma' with the MacBook Neo,entertainment,31,22,thm,2026-04-09T14:12:05.833051
